time x y z yaw
7.872 29.6349 -1.3500 0.3292 1.5707
7.904 29.6574 -1.3498 0.3292 1.5707
7.936 29.6799 -1.3497 0.3292 1.5707
7.968 29.7025 -1.3495 0.3292 1.5707
8.000 29.7250 -1.3493 0.3292 1.5707
8.032 29.7475 -1.3492 0.3292 1.5707
8.064 29.7701 -1.3490 0.3292 1.5708
8.096 29.7926 -1.3489 0.3292 1.5708
8.128 29.8151 -1.3487 0.3292 1.5708
8.160 29.8376 -1.3485 0.3292 1.5708
8.192 29.8602 -1.3484 0.3292 1.5708
8.224 29.8827 -1.3482 0.3292 1.5708
8.256 29.9052 -1.3480 0.3292 1.5708
8.288 29.9277 -1.3479 0.3292 1.5708
8.320 29.9503 -1.3477 0.3292 1.5708
8.352 29.9728 -1.3475 0.3292 1.5708
8.384 29.9953 -1.3474 0.3292 1.5708
8.416 30.0179 -1.3472 0.3292 1.5708
8.448 30.0404 -1.3471 0.3292 1.5708
8.480 30.0629 -1.3469 0.3292 1.5708
8.512 30.0854 -1.3467 0.3292 1.5708
8.544 30.1080 -1.3466 0.3292 1.5708
8.576 30.1305 -1.3464 0.3292 1.5708
8.608 30.1530 -1.3462 0.3292 1.5707
8.640 30.1755 -1.3461 0.3292 1.5707
8.672 30.1981 -1.3459 0.3292 1.5707
8.704 30.2206 -1.3457 0.3292 1.5707
8.736 30.2431 -1.3456 0.3292 1.5707
8.768 30.2657 -1.3454 0.3292 1.5707
8.800 30.2882 -1.3453 0.3292 1.5707
8.832 30.3107 -1.3451 0.3292 1.5707
8.864 30.3332 -1.3449 0.3292 1.5707
8.896 30.3558 -1.3448 0.3292 1.5707
8.928 30.3783 -1.3446 0.3292 1.5707
8.960 30.4008 -1.3444 0.3292 1.5707
8.992 30.4233 -1.3443 0.3292 1.5707
9.024 30.4459 -1.3441 0.3292 1.5707
9.056 30.4684 -1.3439 0.3292 1.5708
9.088 30.4909 -1.3438 0.3292 1.5708
9.120 30.5135 -1.3436 0.3292 1.5708
9.152 30.5360 -1.3434 0.3292 1.5708
9.184 30.5585 -1.3433 0.3292 1.5708
9.216 30.5810 -1.3431 0.3292 1.5708
9.248 30.6036 -1.3430 0.3292 1.5708
9.280 30.6261 -1.3428 0.3292 1.5708
9.312 30.6486 -1.3426 0.3292 1.5708
9.344 30.6711 -1.3425 0.3292 1.5708
9.376 30.6937 -1.3423 0.3292 1.5708
9.408 30.7162 -1.3421 0.3292 1.5708
9.440 30.7387 -1.3420 0.3292 1.5708
9.472 30.7613 -1.3418 0.3292 1.5708
9.504 30.7838 -1.3416 0.3292 1.5708
9.536 30.8063 -1.3415 0.3292 1.5708
9.568 30.8288 -1.3413 0.3292 1.5708
9.600 30.8514 -1.3412 0.3292 1.5707
9.632 30.8739 -1.3410 0.3292 1.5707
9.664 30.8964 -1.3408 0.3292 1.5707
9.696 30.9189 -1.3407 0.3292 1.5707
9.728 30.9415 -1.3405 0.3292 1.5707
9.760 30.9640 -1.3403 0.3292 1.5707
9.792 30.9865 -1.3402 0.3292 1.5707
9.824 31.0091 -1.3400 0.3292 1.5707
9.856 31.0316 -1.3398 0.3292 1.5707
9.888 31.0541 -1.3397 0.3292 1.5707
9.920 31.0766 -1.3395 0.3292 1.5707
9.952 31.0992 -1.3393 0.3292 1.5707
9.984 31.1217 -1.3392 0.3292 1.5707
10.016 31.1442 -1.3390 0.3292 1.5707
10.048 31.1667 -1.3389 0.3292 1.5708
10.080 31.1893 -1.3387 0.3292 1.5708
10.112 31.2118 -1.3385 0.3292 1.5708
10.144 31.2343 -1.3384 0.3292 1.5708
10.176 31.2569 -1.3382 0.3292 1.5708
10.208 31.2794 -1.3380 0.3292 1.5708
10.240 31.3019 -1.3379 0.3292 1.5708
10.272 31.3244 -1.3377 0.3292 1.5708
10.304 31.3470 -1.3375 0.3292 1.5708
10.336 31.3695 -1.3374 0.3292 1.5708
10.368 31.3920 -1.3372 0.3292 1.5708
10.400 31.4146 -1.3371 0.3292 1.5708
10.432 31.4371 -1.3369 0.3292 1.5708
10.464 31.4596 -1.3367 0.3292 1.5708
10.496 31.4821 -1.3366 0.3292 1.5708
10.528 31.5047 -1.3364 0.3292 1.5708
10.560 31.5272 -1.3362 0.3292 1.5708
10.592 31.5497 -1.3361 0.3292 1.5707
10.624 31.5722 -1.3359 0.3292 1.5707
10.656 31.5948 -1.3357 0.3292 1.5707
10.688 31.6173 -1.3356 0.3292 1.5707
10.720 31.6398 -1.3354 0.3292 1.5707
10.752 31.6624 -1.3352 0.3292 1.5707
10.784 31.6849 -1.3351 0.3292 1.5707
10.816 31.7074 -1.3349 0.3292 1.5707
10.848 31.7299 -1.3348 0.3292 1.5707
10.880 31.7525 -1.3346 0.3292 1.5707
10.912 31.7750 -1.3344 0.3292 1.5707
10.944 31.7975 -1.3343 0.3292 1.5707
10.976 31.8200 -1.3341 0.3292 1.5707
11.008 31.8426 -1.3339 0.3292 1.5707
11.040 31.8651 -1.3338 0.3292 1.5708
11.072 31.8876 -1.3336 0.3292 1.5708
11.104 31.9102 -1.3334 0.3292 1.5708
11.136 31.9327 -1.3333 0.3292 1.5708
11.168 31.9552 -1.3331 0.3292 1.5708
11.200 31.9777 -1.3330 0.3292 1.5708
11.232 32.0003 -1.3328 0.3292 1.5708
11.264 32.0228 -1.3326 0.3292 1.5708
11.296 32.0453 -1.3325 0.3292 1.5708
11.328 32.0678 -1.3323 0.3292 1.5708
11.360 32.0904 -1.3321 0.3292 1.5708
11.392 32.1129 -1.3320 0.3292 1.5708
11.424 32.1354 -1.3318 0.3292 1.5708
11.456 32.1580 -1.3316 0.3292 1.5708
11.488 32.1805 -1.3315 0.3292 1.5708
11.520 32.2030 -1.3313 0.3292 1.5708
11.552 32.2255 -1.3312 0.3292 1.5708
11.584 32.2481 -1.3310 0.3292 1.5707
11.616 32.2706 -1.3308 0.3292 1.5707
11.648 32.2931 -1.3307 0.3292 1.5707
11.680 32.3156 -1.3305 0.3292 1.5707
11.712 32.3382 -1.3303 0.3292 1.5707
11.744 32.3607 -1.3302 0.3292 1.5707
11.776 32.3832 -1.3300 0.3292 1.5707
11.808 32.4058 -1.3298 0.3292 1.5707
