time x y z yaw
7.648 29.3944 -1.3518 0.3292 1.5708
7.680 29.4166 -1.3516 0.3292 1.5708
7.712 29.4388 -1.3514 0.3292 1.5708
7.744 29.4609 -1.3513 0.3292 1.5707
7.776 29.4831 -1.3511 0.3292 1.5707
7.808 29.5053 -1.3510 0.3292 1.5707
7.840 29.5275 -1.3508 0.3292 1.5707
7.872 29.5496 -1.3506 0.3292 1.5707
7.904 29.5718 -1.3505 0.3292 1.5707
7.936 29.5940 -1.3503 0.3292 1.5707
7.968 29.6162 -1.3501 0.3292 1.5707
8.000 29.6383 -1.3500 0.3292 1.5707
8.032 29.6605 -1.3498 0.3292 1.5707
8.064 29.6827 -1.3497 0.3292 1.5707
8.096 29.7049 -1.3495 0.3292 1.5707
8.128 29.7270 -1.3493 0.3292 1.5707
8.160 29.7492 -1.3492 0.3292 1.5707
8.192 29.7714 -1.3490 0.3292 1.5708
8.224 29.7936 -1.3489 0.3292 1.5708
8.256 29.8157 -1.3487 0.3292 1.5708
8.288 29.8379 -1.3485 0.3292 1.5708
8.320 29.8601 -1.3484 0.3292 1.5708
8.352 29.8823 -1.3482 0.3292 1.5708
8.384 29.9044 -1.3481 0.3292 1.5708
8.416 29.9266 -1.3479 0.3292 1.5708
8.448 29.9488 -1.3477 0.3292 1.5708
8.480 29.9710 -1.3476 0.3292 1.5708
8.512 29.9931 -1.3474 0.3292 1.5708
8.544 30.0153 -1.3472 0.3292 1.5708
8.576 30.0375 -1.3471 0.3292 1.5708
8.608 30.0597 -1.3469 0.3292 1.5708
8.640 30.0818 -1.3468 0.3292 1.5708
8.672 30.1040 -1.3466 0.3292 1.5708
8.704 30.1262 -1.3464 0.3292 1.5708
8.736 30.1484 -1.3463 0.3292 1.5708
8.768 30.1705 -1.3461 0.3292 1.5707
8.800 30.1927 -1.3460 0.3292 1.5707
8.832 30.2149 -1.3458 0.3292 1.5707
8.864 30.2371 -1.3456 0.3292 1.5707
8.896 30.2592 -1.3455 0.3292 1.5707
8.928 30.2814 -1.3453 0.3292 1.5707
8.960 30.3036 -1.3451 0.3292 1.5707
8.992 30.3258 -1.3450 0.3292 1.5707
9.024 30.3479 -1.3448 0.3292 1.5707
9.056 30.3701 -1.3447 0.3292 1.5707
9.088 30.3923 -1.3445 0.3292 1.5707
9.120 30.4145 -1.3443 0.3292 1.5707
9.152 30.4366 -1.3442 0.3292 1.5707
9.184 30.4588 -1.3440 0.3292 1.5707
9.216 30.4810 -1.3439 0.3292 1.5708
9.248 30.5032 -1.3437 0.3292 1.5708
9.280 30.5253 -1.3435 0.3292 1.5708
9.312 30.5475 -1.3434 0.3292 1.5708
9.344 30.5697 -1.3432 0.3292 1.5708
9.376 30.5919 -1.3430 0.3292 1.5708
9.408 30.6140 -1.3429 0.3292 1.5708
9.440 30.6362 -1.3427 0.3292 1.5708
9.472 30.6584 -1.3426 0.3292 1.5708
9.504 30.6806 -1.3424 0.3292 1.5708
9.536 30.7028 -1.3422 0.3292 1.5708
9.568 30.7249 -1.3421 0.3292 1.5708
9.600 30.7471 -1.3419 0.3292 1.5708
9.632 30.7693 -1.3418 0.3292 1.5708
9.664 30.7915 -1.3416 0.3292 1.5708
9.696 30.8136 -1.3414 0.3292 1.5708
9.728 30.8358 -1.3413 0.3292 1.5708
9.760 30.8580 -1.3411 0.3292 1.5707
9.792 30.8802 -1.3409 0.3292 1.5707
9.824 30.9023 -1.3408 0.3292 1.5707
9.856 30.9245 -1.3406 0.3292 1.5707
